entity_type,node_id_1,name_1,node_id_2,name_2,name_similarity,structure_similarity,alias_overlap,synonym_score,alias_count_1,alias_count_2
Event,EVT_CASE_67892ECD63,高速公路碰撞事故,EVT_CASE_66841A5765,高速公路碰撞,0.8851,0.5,0.0,0.6811,0,0
Resource,RES_CASE_DBB582ED02,危化品运输车,RES_CASE_75CC3CBC0D,罐式危化品运输车,0.8851,0.5,0.0,0.6811,0,0
Action,MEA_CASE_6BA428A393,正面碰撞,MEA_CASE_6B219E66DE,碰撞,0.628,1.0,0.0,0.6768,0,0
Action,MEA_CASE_39D13A1B81,堵漏,MEA_CASE_26F6CA0D04,堵漏处置,0.628,1.0,0.0,0.6768,0,0
Action,MEA_CASE_A048795819,超载,MEA_CASE_7E150A3C7F,超载运输,0.628,1.0,0.0,0.6768,0,0
Action,MEA_CASE_B9C3743B4E,封闭路段,MEA_CASE_99B1ABF38B,封闭,0.628,1.0,0.0,0.6768,0,0
Action,MEA_CASE_72BE7C7A01,急刹车,MEA_CASE_0F40324895,紧急刹车,0.8685,0.5,0.0,0.6711,0,0
Department,ORG_PROVINCIAL_TRANSPORT,省级交通运输主管部门,ORG_MUNICIPAL_TRANSPORT,市级交通运输主管部门,0.865,0.5,0.0,0.669,0,0
Department,ORG_PROVINCIAL_TRANSPORT,省级交通运输主管部门,ORG_COUNTY_TRANSPORT,县级交通运输主管部门,0.865,0.5,0.0,0.669,0,0
Department,ORG_MUNICIPAL_TRANSPORT,市级交通运输主管部门,ORG_COUNTY_TRANSPORT,县级交通运输主管部门,0.865,0.5,0.0,0.669,0,0
Department,ORG_CASE_6DEAB2960B,工程施工单位,ORG_CASE_45537A4E38,施工单位,0.808,0.5,0.0,0.6348,0,0
Event,EVT_GEOLOGICAL,地质灾害,EVT_SUDDEN_GEOLOGICAL,突发地质灾害,0.808,0.5,0.0,0.6348,3,3
Event,EVT_CASE_436A2F6617,交通中断,EVT_CASE_8D488B1349,铁路交通中断,0.808,0.5,0.0,0.6348,0,0
Event,EVT_CASE_436A2F6617,交通中断,EVT_CASE_BE91B84AF9,匝道交通中断,0.808,0.5,0.0,0.6348,0,0
Event,EVT_CASE_436A2F6617,交通中断,EVT_CASE_56854778B2,道路交通中断,0.808,0.5,0.0,0.6348,0,0
Event,EVT_CASE_9DD0BDA4CE,交通碰撞,EVT_CASE_911BCF600E,道路交通碰撞,0.808,0.5,0.0,0.6348,0,0
Event,EVT_CASE_9DD0BDA4CE,交通碰撞,EVT_CASE_695C0653A5,交通碰撞事故,0.808,0.5,0.0,0.6348,0,0
Event,EVT_CASE_B6D073864B,道路交通拥堵,EVT_CASE_85237B46E2,交通拥堵,0.808,0.5,0.0,0.6348,0,0
Event,EVT_CASE_51C41B32E7,车辆侧滑碰撞,EVT_CASE_F4726E4011,车辆侧滑,0.808,0.5,0.0,0.6348,0,0
Event,EVT_CASE_8D34029A60,桥梁车辆坠江,EVT_CASE_B379DF3AFC,车辆坠江,0.808,0.5,0.0,0.6348,0,0
Event,EVT_CASE_9CC62EF2EB,车辆侧翻,EVT_CASE_F4726E4011,车辆侧滑,0.6625,0.75,0.0,0.6225,0,0
