Event,Relation,Action
造成高速公路、普通国道交通中断，出现大量车辆积压，并影响到周边省域高速公路、普通国道正常运行，且抢修、处置时间预计在48小时以上,triggers,特别重大事件（I级）
造成国省道特大桥梁、特长隧道垮塌，或者造成公路桥梁、隧道、边坡等构造物垮塌并导致30人以上死亡或者失踪,triggers,特别重大事件（I级）
因重要物资缺乏等原因可能严重影响全国或者大片区域经济整体运行和人民正常生活，需要紧急安排跨省域公路应急通行保障,triggers,特别重大事件（I级）
其他需要由交通运输部提供公路交通应急保障,triggers,特别重大事件（I级）
造成国道、省道交通中断，出现大量车辆积压，且抢修、处置时间预计在24小时以上的,triggers,重大事件（Ⅱ级）
因公路交通突发事件导致重要客运枢纽运行中断，造成大量旅客滞留，恢复运行及人员疏散预计在24小时以上的,triggers,重大事件（Ⅱ级）
造成国省道大桥、中长隧道发生垮塌、火灾、爆炸等安全事件，或者造成公路桥梁、隧道、边坡等构造物垮塌并导致10人以上30人以下死亡或者失踪,triggers,重大事件（Ⅱ级）
公路工程建设、道路运输（营运车辆）、道路运输站（场）发生一次10人以上30人以下死亡（失踪），或者50人以上100人以下重伤,triggers,重大事件（Ⅱ级）
危险货物（含剧毒品）在公路运输中发生爆炸、泄漏，造成10人以上30人以下死亡，或者50人以上100人以下中毒（重伤），或造成道路环境污染、县级城市集中式饮用水水源地取水中断或区域生态破坏,triggers,重大事件（Ⅱ级）
因重要物资缺乏等原因可能严重影响省域内经济整体运行和人民正常生活，需要紧急安排跨市域公路应急通行保障,triggers,重大事件（Ⅱ级）
其他需要由本省提供公路交通应急保障,triggers,重大事件（Ⅱ级）
造成国道、省道交通中断，出现车辆积压，且抢修、处置时间预计在6小时以上的,triggers,较大事件（Ⅲ级）
造成县道、乡道交通中断，出现车辆积压，且抢修、处置时间预计在24小时以上的,triggers,较大事件（Ⅲ级）
造成国省道中桥、短隧道或者县道、乡道中型以上桥梁、隧道发生垮塌，或者造成公路桥梁、隧道、边坡等构造物垮塌并导致3人以上10人以下死亡或者失踪,triggers,较大事件（Ⅲ级）
公路工程建设、道路运输（营运车辆）、道路运输站（场）发生一次3人以上10人以下死亡（失踪），或者10人以上50人以下重伤,triggers,较大事件（Ⅲ级）
危险货物（含剧毒品）在公路运输中发生爆炸、泄漏，造成3人以上10人以下死亡，或者10人以上50人以下中毒（重伤），或造成道路环境污染、乡镇集中式饮用水水源地取水中断或区域生态破坏,triggers,较大事件（Ⅲ级）
因重要物资缺乏等原因可能严重影响市域内经济整体运行和人民正常生活，需要紧急安排跨县域公路应急通行保障,triggers,较大事件（Ⅲ级）
其他需要由本市提供公路交通应急保障,triggers,较大事件（Ⅲ级）
造成县道、乡道交通中断，出现车辆积压，且抢修、处置时间预计在12小时以上的,triggers,一般事件（Ⅳ级）
造成国道、省道、县道、乡道桥梁、隧道发生垮塌，或者造成公路桥梁、隧道、边坡等构造物垮塌并导致3人以下死亡或者失踪,triggers,一般事件（Ⅳ级）
公路工程建设、道路运输（营运车辆）、道路运输站（场）发生一次3人以下死亡（失踪），或者10人以下重伤,triggers,一般事件（Ⅳ级）
危险货物（含剧毒品）在公路运输中发生爆炸、泄漏，造成3人以下死亡，或者10人以下中毒（重伤），或造成道路环境污染与生态破坏,triggers,一般事件（Ⅳ级）
因重要物资缺乏等原因可能严重影响县域内经济整体运行和人民正常生活，需要在县域内紧急安排公路应急通行保障,triggers,一般事件（Ⅳ级）
其他需要由区县级提供公路交通应急保障,triggers,一般事件（Ⅳ级）
特别重大事件（I级）,requires,启动应急预案
特别重大事件（I级）,requires,组织成员单位对遇险人员进行紧急援救
特别重大事件（I级）,requires,协调部队参加抢险救灾
重大事件（Ⅱ级）,requires,启动应急预案
重大事件（Ⅱ级）,requires,组织成员单位对遇险人员进行紧急援救
重大事件（Ⅱ级）,requires,协调部队参加抢险救灾
较大事件（Ⅲ级）,requires,启动应急预案
较大事件（Ⅲ级）,requires,组织成员单位对遇险人员进行紧急援救
较大事件（Ⅲ级）,requires,协调部队参加抢险救灾
一般事件（Ⅳ级）,requires,指导区县政府、西咸新区及各开发区管委会开展应急处置工作
